steig_id;stop_id;name;rbl;direction
1111364709;1085615112;"Atzgersdorfer Straße";8124;"H"
1111364710;1085619464;"Rosenhügelstraße";1741;"H"
1111364711;1085619561;"Ruzickagasse";3810;"H"
1111364712;1085614121;"Deißenhofergasse";3782;"H"
1111364713;1085614205;"Dorfmeistergasse";8126;"H"
1111364714;1085617196;"Hietzing";8119;"H"
1111364715;1085614313;"Eberstorferweg";3783;"H"
1111364716;1085614420;"Endemanngasse";8132;"H"
1111364717;1085614420;"Endemanngasse";3794;"H"
1111364718;1085617500;"Hödlgasse";3809;"H"
1111364739;1085621820;"Stranzenberggasse";3736;"R"
1111364740;1085622024;"Taglieberstraße";1649;"R"
1111364741;1085623149;"Tiroler Gasse";3733;"R"
1111364742;1085620647;"Montecuccoliplatz";3734;"R"
1111364743;1085620717;"Pensionistenwohnhaus Hetzendorf";3761;"R"
1111364744;1085619755;"Schluckergasse";8129;"R"
1111364745;1085618710;"Pensionistenwohnhaus Rosenberg";3788;"R"
1111364746;1085614830;"Am Platz";3735;"R"
1111364747;1085614834;"Am Rosenhügel";3759;"R"
1111364748;1085614859;"Am Spiegeln";1668;"R"
1111364749;1085615090;"Atzgersdorf";8134;"R"
1111364750;1085615112;"Atzgersdorfer Straße";3763;"R"
1111364751;1085619464;"Rosenhügelstraße";3762;"R"
1111364752;1085619538;"Rudolf-Zeller-Gasse";1666;"R"
1111364753;1085614121;"Deißenhofergasse";3787;"R"
1111364754;1085614205;"Dorfmeistergasse";3760;"R"
1111364755;1085617196;"Hietzing";8119;"R"
1111364756;1085614313;"Eberstorferweg";3786;"R"
1111365071;1085621712;"Kendlerstraße";4932;"H"
1111365072;1085621741;"Stephansplatz";4911;"H"
1111365073;1085614502;"Erdberg";4917;"H"
1111365074;1085617659;"Johnstraße";4926;"H"
1111365075;1085622620;"Westbahnhof";4921;"H"
1111365076;1085622411;"Volkstheater";4909;"H"
1111365077;1085623055;"Zieglergasse";4922;"H"
1111365078;1085619411;"Rochusgasse";4914;"H"
1111365079;1085614906;"Neubaugasse";4923;"H"
1111365080;1085617978;"Kardinal-Nagl-Platz";4915;"H"
1111365081;1085616460;"Zippererstraße";4935;"H"
1111365082;1085618913;"Hütteldorfer Straße";4933;"H"
1111365083;1085616580;"Enkplatz";4936;"H"
1111365084;1085618583;"Ottakring";4931;"H"
1111365085;1085615567;"Wien Mitte-Landstraße";4913;"H"
1111365086;1085617114;"Herrengasse";4910;"H"
1111365087;1085621418;"Simmering";4937;"H"
1111365088;1085614229;"Stubentor";4912;"H"
1111365089;1085619970;"Schlachthausgasse";4916;"H"
1111365090;1085619992;"Schweglerstraße";4927;"H"
1111365091;1085623801;"Gasometer";4934;"H"
1111365115;1085621712;"Kendlerstraße";4929;"R"
1111365116;1085621741;"Stephansplatz";4906;"R"
1111365117;1085614502;"Erdberg";4900;"R"
1111365118;1085617659;"Johnstraße";4925;"R"
1111365119;1085622620;"Westbahnhof";4920;"R"
1111365120;1085622411;"Volkstheater";4908;"R"
1111365121;1085623055;"Zieglergasse";4919;"R"
1111365122;1085619411;"Rochusgasse";4903;"R"
1111365123;1085614906;"Neubaugasse";4918;"R"
1111365124;1085617978;"Kardinal-Nagl-Platz";4902;"R"
1111365125;1085616460;"Zippererstraße";4940;"R"
1111365126;1085618913;"Hütteldorfer Straße";4928;"R"
1111365127;1085616580;"Enkplatz";4939;"R"
1111365128;1085618583;"Ottakring";4930;"R"
1111365129;1085615567;"Wien Mitte-Landstraße";4904;"R"
1111365130;1085617114;"Herrengasse";4907;"R"
1111365131;1085621418;"Simmering";4938;"R"
1111365132;1085614229;"Stubentor";4905;"R"
1111365133;1085619970;"Schlachthausgasse";4901;"R"
1111365134;1085619992;"Schweglerstraße";4924;"R"
1111365135;1085623801;"Gasometer";4941;"R"
1111365418;1085623549;"Schloss Neugebäude";3732;"H"
1111365419;1085616068;"Florian-Hedorfer-Straße";2084;"H"
1111365420;1085620697;"Mühlsangergasse";2355;"H"
1111365421;1085622726;"Jedletzbergerstraße";3840;"H"
1111365422;1085614807;"Am Himmelreich";2070;"H"
1111365423;1085618660;"Pantucekgasse";2366;"H"
1111365424;1085617888;"Kaiserebersdorf, Zinnergasse";2356;"H"
1111365425;1085615067;"Artillerieplatz";5045;"H"
1111365426;1085616414;"Geringergasse";2156;"H"
1111365427;1085615297;"Klebindergraben";2073;"H"
1111365428;1085616861;"Halterlacken";2354;"H"
1111365429;1085615615;"Landwehrstraße";5046;"H"
1111365430;1085621418;"Simmering";2588;"H"
1111365431;1085614381;"Luzegasse";2072;"H"
1111365432;1085617504;"Hörtengasse";2071;"H"
1111365433;1085623832;"Simmering S+U/Kaiserebersdorfer Str.";2576;"H"
1111365454;1085623549;"Schloss Neugebäude";2086;"R"
1111365455;1085617504;"Hörtengasse";2087;"R"
1111365456;1085616068;"Florian-Hedorfer-Straße";2752;"R"
1111365457;1085623091;"Freudenauer Hafenbrücke";5020;"R"
1111365458;1085620697;"Mühlsangergasse";2364;"R"
1111365459;1085614807;"Am Himmelreich";2088;"R"
1111365460;1085618660;"Pantucekgasse";2366;"R"
1111365461;1085617883;"Kaiserebersdorfer Friedhof";2085;"R"
1111365462;1085617888;"Kaiserebersdorf, Zinnergasse";2363;"R"
1111365463;1085615067;"Artillerieplatz";5042;"R"
1111365464;1085616414;"Geringergasse";5649;"R"
1111365465;1085616861;"Halterlacken";2365;"R"
1111365466;1085614648;"Alberner Hafenzufahrtsstr.";5006;"R"
1111365467;1085615615;"Landwehrstraße";5046;"R"
1111365468;1085621418;"Simmering";2588;"R"
1111365469;1085614381;"Luzegasse";2726;"R"
1111365470;1085623832;"Simmering S+U/Kaiserebersdorfer Str.";2575;"R"
1111365471;1085624064;"Zinnergasse/Kaserne";2654;"R"
1111365786;1085623943;"Aspern Sportplatz";8692;"H"
1111365787;1085620881;"Stavangergasse";68;"H"
1111365788;1085620885;"Seidelbastgasse";67;"H"
1111365789;1085621812;"Strandbad Stadlau";8540;"H"
1111365790;1085621846;"Stadlauer Friedhof";8542;"H"
1111365791;1085614523;"Donaustadtbrücke";8535;"H"
1111365792;1085614523;"Donaustadtbrücke";8648;"H"
1111365793;1085622035;"Tamariskengasse";8544;"H"
1111365794;1085622891;"Wohnpark Lobau";8541;"H"
1111365795;1085622920;"Haßlwanderweg";69;"H"
1111365796;1085622962;"Zachgasse";1080;"H"
1111365797;1085616186;"Franz-Pletersky-Weg";8688;"H"
1111365798;1085620705;"Mühlwasserstraße";8538;"H"
1111365799;1085617903;"Kaisermühlen-VIC";72;"H"
1111365800;1085617920;"Kaisermühlenstraße";8537;"H"
1111365801;1085617959;"Kanalstraße";8539;"H"
1111365802;1085617964;"Wulzendorfstraße";8545;"H"
1111365803;1085618194;"Neue Donau Mitte";8505;"H"
1111365804;1085615075;"Asperner Heldenplatz";8590;"H"
1111365805;1085621345;"Siegesplatz";1026;"H"
1111365806;1085616444;"Ehrenpreisgasse";8543;"H"
1111365807;1085616532;"Goethehof";73;"H"
1111365808;1085616885;"Hardeggasse";8050;"H"
1111365809;1085616915;"Harrachgasse";8502;"H"
1111365810;1085614093;"Dampfschiffhaufen";8506;"H"
1111365811;1085620031;"Schüttauplatz";8501;"H"
1111365812;1085620035;"Schüttaustraße";60;"H"
1111365813;1085620052;"Schödlbergergasse";74;"H"
1111365845;1085623943;"Aspern Sportplatz";8693;"R"
1111365846;1085620881;"Stavangergasse";8559;"R"
1111365847;1085620885;"Seidelbastgasse";8560;"R"
1111365848;1085621812;"Strandbad Stadlau";8567;"R"
1111365849;1085621846;"Stadlauer Friedhof";8564;"R"
1111365850;1085614523;"Donaustadtbrücke";8535;"R"
1111365851;1085622035;"Tamariskengasse";8562;"R"
1111365852;1085622891;"Wohnpark Lobau";8566;"R"
1111365853;1085622920;"Haßlwanderweg";8558;"R"
1111365854;1085622962;"Zachgasse";1080;"R"
1111365855;1085620628;"Mendelssohngasse";8504;"R"
1111365856;1085616186;"Franz-Pletersky-Weg";8569;"R"
1111365857;1085620705;"Mühlwasserstraße";8570;"R"
1111365858;1085617903;"Kaisermühlen-VIC";65;"R"
1111365859;1085617920;"Kaisermühlenstraße";8571;"R"
1111365860;1085617959;"Kanalstraße";8568;"R"
1111365861;1085617964;"Wulzendorfstraße";8561;"R"
1111365862;1085618194;"Neue Donau Mitte";8503;"R"
1111365863;1085615075;"Asperner Heldenplatz";5702;"R"
1111365864;1085621345;"Siegesplatz";1050;"R"
1111365865;1085616444;"Ehrenpreisgasse";8563;"R"
1111365866;1085616532;"Goethehof";64;"R"
1111365867;1085615267;"Sanddorngasse";8565;"R"
1111365868;1085616885;"Hardeggasse";8051;"R"
1111365869;1085616915;"Harrachgasse";8689;"R"
1111365870;1085614093;"Dampfschiffhaufen";8536;"R"
1111365871;1085620031;"Schüttauplatz";62;"R"
1111365872;1085620035;"Schüttaustraße";59;"R"
1111365873;1085620052;"Schödlbergergasse";63;"R"
1111366055;1085621692;"Steigenteschgasse";5785;"H"
1111366056;1085617508;"Senekowitschgasse";3407;"H"
1111366057;1085622453;"Vorgartenstraße";5711;"H"
1111366058;1085620086;"Sebaldgasse";992;"H"
1111366059;1085622552;"Wassermanngasse";1141;"H"
1111366060;1085617755;"Julius-Payer-Gasse";3076;"H"
1111366062;1085617828;"Kagraner Brücke";5510;"H"
1111366063;1085617844;"Kagraner Platz";885;"H"
1111366064;1085620663;"Moritz-Dreger-Gasse";1137;"H"
1111366065;1085618168;"Nestroyplatz";5709;"H"
1111366066;1085619773;"Schottenring";5569;"H"
1111366067;1085619809;"Schottentor";18;"H"
1111366068;1085614735;"Alte Donau";3077;"H"
1111366069;1085614996;"Doningasse";956;"H"
1111366070;1085617903;"Kaisermühlen-VIC";5509;"H"
1111366071;1085613725;"Maculangasse/Wagramer Straße";2471;"H"
1111366072;1085616781;"Haberditzlgasse";1140;"H"
1111366073;1085618953;"Praterstern";5710;"H"
1111366074;1085619894;"Schwarzenbergplatz";12;"H"
1111366075;1085618535;"Oper/Karlsplatz U";5604;"H"
1111366076;1085618579;"Oswald-Redlich-Straße";1139;"H"
1111366077;1085619058;"Puchgasse";3093;"H"
1111366078;1085613945;"Burgring";14;"H"
1111366079;1085613954;"Rathausplatz/Burgtheater";17;"H"
1111366080;1085613969;"Börse";5201;"H"
1111366081;1085614593;"Adolf-Loos-Gasse";1143;"H"
1111366082;1085615633;"Langfeldgasse";1144;"H"
1111366083;1085615746;"Leopoldau";1142;"H"
1111366084;1085615784;"Leopoldauer Platz";5787;"H"
1111366085;1085614154;"Donauinsel";5760;"H"
1111366086;1085614186;"Siebeckstraße";5713;"H"
1111366087;1085614200;"Dopschstraße";1136;"H"
1111366088;1085614229;"Stubentor";10;"H"
1111366089;1085615856;"Tillmanngasse";3088;"H"
1111366090;1085619931;"Schwedenplatz";5505;"H"
1111366091;1085619931;"Schwedenplatz";5504;"H"
1111366092;1085614251;"Ring/Volkstheater U";15;"H"
1111366093;1085617363;"Hosnedlgasse";3097;"H"
1111366094;1085619646;"St.-Michael-Gasse";1135;"H"
1111366095;1085620965;"Martin-Gaunersdorfer-Gasse";5715;"H"
1111366096;1085621052;"Franz-Eduard-Matras-Gasse";2472;"H"
1111366097;1085621056;"Theodor-Kramer-Str.";2473;"H"
1111366098;1085621060;"Hochmuthgasse";2474;"H"
1111366099;1085624046;"Praterstern/Lassallestraße";7;"H"
1111366100;1085624098;"Großfeldsiedlung";1100;"H"
1111366101;1085624109;"Rennbahnweg";874;"H"
1111366102;1085624123;"Kürschnergasse";1138;"H"
1111366103;1085624127;"Anton-Sattler-Gasse";952;"H"
1111366138;1085621692;"Steigenteschgasse";892;"R"
1111366139;1085617508;"Senekowitschgasse";3096;"R"
